Month,Longitudes,Latitudes,Elevation,ExtSR,MonthlyAvgI_HP,MonthlyAvgI_IncP,OptSlopeAngle,MontlyAvgI_B,Ratio_D_G
April,78.554,21.733,562,1.367,221.47,214.89,28,216.57,0.28
May,78.554,21.733,562,1.367,229.05,203.42,28,208.7,0.31
June,78.554,21.733,562,1.367,180.44,158.39,28,125.18,0.46
July,78.554,21.733,562,1.367,105.09,97.41,28,31.23,0.77
August,78.554,21.733,562,1.367,98.86,94.3,28,37.42,0.72
September,78.554,21.733,562,1.367,150.19,153.61,28,105.7,0.48
October,78.554,21.733,562,1.367,172.89,202.2,28,182.21,0.33
November,78.554,21.733,562,1.367,161.1,213.71,28,212.36,0.26
December,78.554,21.733,562,1.367,152.12,215.01,28,217.43,0.26
January,79.293,23.55,406,1.367,138.47,188.91,29,176.25,0.32
February,79.293,23.55,406,1.367,160.98,200.96,29,194.54,0.27
March,79.293,23.55,406,1.367,197.43,217.71,29,205.18,0.29
April,79.293,23.55,406,1.367,210.69,206.48,29,193.33,0.33
May,79.293,23.55,406,1.367,211.62,191.38,29,172.72,0.38
June,79.293,23.55,406,1.367,185.62,164.18,29,127.42,0.47
July,79.293,23.55,406,1.367,123.18,113.59,29,48.85,0.69
August,79.293,23.55,406,1.367,113.41,107.93,29,47.97,0.7
September,79.293,23.55,406,1.367,158.85,164.22,29,114.97,0.49
October,79.293,23.55,406,1.367,169.11,200.41,29,179.05,0.33
November,79.293,23.55,406,1.367,151.52,203.28,29,194.23,0.28
December,79.293,23.55,406,1.367,138.07,195.38,29,184.14,0.3
January,79.047,24.992,254,1.367,136.2,191.59,30,180.66,0.31
February,79.047,24.992,254,1.367,155.2,197.2,30,189.05,0.28
March,79.047,24.992,254,1.367,195.22,217.79,30,203.96,0.3
April,79.047,24.992,254,1.367,212.9,210.07,30,198.7,0.32
May,79.047,24.992,254,1.367,216.04,196.03,30,174.55,0.38
June,79.047,24.992,254,1.367,195.13,172.77,30,137.12,0.44
July,79.047,24.992,254,1.367,133.28,122.94,30,54.36,0.67
August,79.047,24.992,254,1.367,123.85,118.14,30,55.13,0.67
September,79.047,24.992,254,1.367,167.79,175.73,30,137.71,0.43
October,79.047,24.992,254,1.367,171.72,207.03,30,186.44,0.32
November,79.047,24.992,254,1.367,148.29,203.45,30,191.86,0.29
December,79.047,24.992,254,1.367,133.42,192.33,30,175.87,0.33
January,78.73,25.818,176,1.367,124.18,170.29,29,149.56,0.37
February,78.73,25.818,176,1.367,150.44,190.74,29,178.44,0.3
March,78.73,25.818,176,1.367,188.53,211.71,29,193.55,0.31
April,78.73,25.818,176,1.367,209.83,208.94,29,188.95,0.35
May,78.73,25.818,176,1.367,217.22,200.43,29,165.35,0.41
June,78.73,25.818,176,1.367,190.93,171.82,29,124.89,0.48
July,78.73,25.818,176,1.367,137.83,127.71,29,59.18,0.66
August,78.73,25.818,176,1.367,151.95,146.35,29,84.26,0.58
September,78.73,25.818,176,1.367,178.51,189.36,29,155.95,0.39
October,78.73,25.818,176,1.367,161.67,194.43,29,167.65,0.35
November,78.73,25.818,176,1.367,138.82,188.18,29,169.93,0.33
December,78.73,25.818,176,1.367,118.35,166.28,29,142.97,0.39
January,79.539,25.912,136,1.367,121.77,166.55,29,145.67,0.38
February,79.539,25.912,136,1.367,149.28,188.51,29,174.38,0.31
March,79.539,25.912,136,1.367,189.56,212.9,29,196.14,0.31
April,79.539,25.912,136,1.367,210.7,210.36,29,189.9,0.34
May,79.539,25.912,136,1.367,213.21,197.28,29,161.55,0.41
June,79.539,25.912,136,1.367,193.41,174.4,29,127.11,0.48
July,79.539,25.912,136,1.367,139.51,129.56,29,59.67,0.66
August,79.539,25.912,136,1.367,151.76,146.42,29,84.19,0.58
September,79.539,25.912,136,1.367,175.61,186.38,29,151.76,0.39
October,79.539,25.912,136,1.367,162.91,195.53,29,167.35,0.36
November,79.539,25.912,136,1.367,137.81,186.04,29,166.47,0.34
December,79.539,25.912,136,1.367,113.91,158.33,29,133.82,0.42
January,79.715,25.374,181,1.367,123.03,167.14,28,147.7,0.37
February,79.715,25.374,181,1.367,151.47,190.75,28,179.45,0.3
March,79.715,25.374,181,1.367,188.75,211.01,28,194.24,0.31
April,79.715,25.374,181,1.367,208.24,207.17,28,185.49,0.35
May,79.715,25.374,181,1.367,212.13,196.08,28,161.78,0.41
June,79.715,25.374,181,1.367,197.11,177.33,28,133.14,0.47
July,79.715,25.374,181,1.367,135.73,126.09,28,59.62,0.65
August,79.715,25.374,181,1.367,148.1,142.38,28,81.98,0.59
September,79.715,25.374,181,1.367,170.42,178.89,28,137.59,0.43
October,79.715,25.374,181,1.367,164.86,197.19,28,170.88,0.35
November,79.715,25.374,181,1.367,139.37,186.75,28,168.03,0.33
December,79.715,25.374,181,1.367,116.17,160.33,28,135.78,0.41
January,79.939,24.357,308,1.367,136.03,188.22,29,176.28,0.32
February,79.939,24.357,308,1.367,157.65,198.37,29,189.43,0.28
March,79.939,24.357,308,1.367,196.25,218.24,29,206.52,0.29
April,79.939,24.357,308,1.367,210.3,207.17,29,192.5,0.33
May,79.939,24.357,308,1.367,213.35,194.34,29,169.02,0.39
June,79.939,24.357,308,1.367,186.57,165.81,29,124.87,0.47
July,79.939,24.357,308,1.367,127.23,117.25,29,52.06,0.68
August,79.939,24.357,308,1.367,118.75,113.29,29,55.14,0.66
September,79.939,24.357,308,1.367,171.39,179.14,29,137.61,0.43
October,79.939,24.357,308,1.367,167.65,200.19,29,177.82,0.33
November,79.939,24.357,308,1.367,149.38,202.45,29,191.07,0.29
December,79.939,24.357,308,1.367,134.76,192.14,29,177.42,0.32
January,79.833,23.811,413,1.367,137.68,188.74,29,178.28,0.32
February,79.833,23.811,413,1.367,158.98,197.97,29,189.25,0.29
March,79.833,23.811,413,1.367,196.94,217.47,29,204.37,0.29
April,79.833,23.811,413,1.367,208.97,205.72,29,190.81,0.33
May,79.833,23.811,413,1.367,212.22,193.26,29,170.23,0.38
June,79.833,23.811,413,1.367,190.48,169.19,29,133,0.45
July,79.833,23.811,413,1.367,129.11,119.23,29,55.58,0.66
August,79.833,23.811,413,1.367,118.34,113.03,29,51.8,0.67
September,79.833,23.811,413,1.367,165.47,172.01,29,126.27,0.46
October,79.833,23.811,413,1.367,168.78,199.9,29,176.96,0.34
November,79.833,23.811,413,1.367,150.48,201.8,29,191.5,0.29
December,79.833,23.811,413,1.367,135.92,191.63,29,178.26,0.32
January,79.622,22.908,423,1.367,139.93,188.74,28,176.04,0.32
February,79.622,22.908,423,1.367,163.07,202.08,28,196.43,0.27
March,79.622,22.908,423,1.367,197.95,217.09,28,205.48,0.29
April,79.622,22.908,423,1.367,214.75,210.12,28,198.98,0.32
May,79.622,22.908,423,1.367,212.64,192.67,28,172.34,0.38
June,79.622,22.908,423,1.367,191.73,169.48,28,135.96,0.45
July,79.622,22.908,423,1.367,122.93,113.9,28,47.08,0.7
August,79.622,22.908,423,1.367,111.76,106.67,28,44.19,0.71
September,79.622,22.908,423,1.367,163.9,168.99,28,120.23,0.47
October,79.622,22.908,423,1.367,170.1,200.24,28,178.59,0.33
November,79.622,22.908,423,1.367,152.97,203.15,28,194.14,0.28
December,79.622,22.908,423,1.367,140.65,197.02,28,187.12,0.3
January,79.693,22.226,507,1.367,146.72,197.94,28,187.73,0.31
February,79.693,22.226,507,1.367,159.58,195.79,28,183.17,0.3
March,79.693,22.226,507,1.367,194.07,211.32,28,199.51,0.29
April,79.693,22.226,507,1.367,218.53,212.66,28,208.66,0.3
May,79.693,22.226,507,1.367,226.23,201.61,28,202.08,0.33
June,79.693,22.226,507,1.367,186.42,163.57,28,134.38,0.44
July,79.693,22.226,507,1.367,104.92,97.26,28,32.08,0.76
August,79.693,22.226,507,1.367,91.75,87.61,28,30.52,0.76
September,79.693,22.226,507,1.367,138.2,140.07,28,83.74,0.57
October,79.693,22.226,507,1.367,173.11,203.14,28,183.06,0.34
November,79.693,22.226,507,1.367,160.16,213.1,28,209.67,0.26
December,79.693,22.226,507,1.367,151.19,214.34,28,214.58,0.26
January,79.728,21.508,321,1.367,149.7,199.2,27,190.11,0.3
February,79.728,21.508,321,1.367,159.35,193.7,27,181.13,0.3
March,79.728,21.508,321,1.367,196.09,212.12,27,198.35,0.3
April,79.728,21.508,321,1.367,215.59,209.52,27,202.94,0.3
May,79.728,21.508,321,1.367,224.66,200.51,27,201.57,0.33
June,79.728,21.508,321,1.367,177.43,156.93,27,122.35,0.46
July,79.728,21.508,321,1.367,118.47,109.59,27,44.48,0.71
August,79.728,21.508,321,1.367,111.13,106.56,27,45.04,0.7
September,79.728,21.508,321,1.367,146.07,148.81,27,97.78,0.52
October,79.728,21.508,321,1.367,174.26,203.53,27,187.09,0.32
November,79.728,21.508,321,1.367,161.3,211.73,27,209.29,0.26
December,79.728,21.508,321,1.367,152.92,213.56,27,216.02,0.25
January,79.447,20.161,239,1.367,153.34,199.96,26,191.6,0.29
February,79.447,20.161,239,1.367,162.28,194.3,26,182.21,0.29
March,79.447,20.161,239,1.367,202.05,217.11,26,205.21,0.29
April,79.447,20.161,239,1.367,213.95,207.04,26,202.36,0.3
May,79.447,20.161,239,1.367,220,197.43,26,191.7,0.34
June,79.447,20.161,239,1.367,172.91,153.18,26,120.72,0.47
July,79.447,20.161,239,1.367,124.89,115.63,26,51.64,0.67
August,79.447,20.161,239,1.367,137.27,131.31,26,67.14,0.64
September,79.447,20.161,239,1.367,143.48,146.05,26,99.45,0.49
October,79.447,20.161,239,1.367,174.24,200.05,26,179.66,0.33
November,79.447,20.161,239,1.367,162.59,208.55,26,205.07,0.26
December,79.447,20.161,239,1.367,155.01,211,26,214.29,0.26
January,80.079,20.326,216,1.367,153.46,200.75,26,191.97,0.3
February,80.079,20.326,216,1.367,165.22,198.69,26,188.84,0.28
March,80.079,20.326,216,1.367,203,218.43,26,207.26,0.29
April,80.079,20.326,216,1.367,217.35,210.58,26,208.48,0.29
May,80.079,20.326,216,1.367,222.42,200.11,26,192.85,0.33
June,80.079,20.326,216,1.367,186.18,164.13,26,136.01,0.43
July,80.079,20.326,216,1.367,122.29,113.6,26,45.07,0.71
August,80.079,20.326,216,1.367,122.49,117.53,26,53.77,0.66
September,80.079,20.326,216,1.367,132.15,133.6,26,77.22,0.57
October,80.079,20.326,216,1.367,176.86,203.51,26,182.06,0.32
November,80.079,20.326,216,1.367,160.99,206.57,26,199.76,0.27
December,80.079,20.326,216,1.367,153.88,209.56,26,209.59,0.26
January,80.325,21.867,568,1.367,147.11,196.42,28,184.3,0.3
February,80.325,21.867,568,1.367,162.66,198.86,28,186.31,0.28
March,80.325,21.867,568,1.367,200.4,217.92,28,206.24,0.29
April,80.325,21.867,568,1.367,214.02,208.34,28,201.76,0.29
May,80.325,21.867,568,1.367,216.74,194.63,28,184.09,0.34
June,80.325,21.867,568,1.367,182.05,160.11,28,131.99,0.43
July,80.325,21.867,568,1.367,124.59,115,28,47.98,0.7
August,80.325,21.867,568,1.367,107.25,102.79,28,46.72,0.67
September,80.325,21.867,568,1.367,133.62,135.33,28,76.88,0.58
October,80.325,21.867,568,1.367,174.64,204.24,28,183.81,0.33
November,80.325,21.867,568,1.367,159.82,211.04,28,206.33,0.26
December,80.325,21.867,568,1.367,151.03,211.19,28,207.9,0.26
January,80.15,23.231,423,1.367,135.27,182.93,28,170.69,0.31
February,80.15,23.231,423,1.367,155.79,192.25,28,180.55,0.3
March,80.15,23.231,423,1.367,189.4,208.1,28,195.05,0.3
April,80.15,23.231,423,1.367,213.52,209.7,28,198.63,0.32
May,80.15,23.231,423,1.367,208.01,189.47,28,164.57,0.39
June,80.15,23.231,423,1.367,183.1,162.71,28,126.93,0.45
July,80.15,23.231,423,1.367,134.85,124.71,28,59.57,0.65
August,80.15,23.231,423,1.367,120.39,115.26,28,58.55,0.64
September,80.15,23.231,423,1.367,152.05,156.52,28,107.94,0.48
October,80.15,23.231,423,1.367,169.02,199.72,28,179.33,0.33
November,80.15,23.231,423,1.367,151.21,200.93,28,189.92,0.29
December,80.15,23.231,423,1.367,138.07,193.39,28,181.93,0.31
January,79.868,24.485,300,1.367,136.14,187.32,29,172.07,0.32
February,79.868,24.485,300,1.367,156.18,195.69,29,184.32,0.29
March,79.868,24.485,300,1.367,195.68,217.47,29,204.91,0.29
April,79.868,24.485,300,1.367,209.83,207,29,191.02,0.33
May,79.868,24.485,300,1.367,216.85,197.97,29,172.46,0.38
June,79.868,24.485,300,1.367,189.38,168.75,29,128.22,0.46
July,79.868,24.485,300,1.367,132.62,122.26,29,57.11,0.66
August,79.868,24.485,300,1.367,119.8,114.61,29,52.67,0.67
September,79.868,24.485,300,1.367,168.41,175.7,29,129.21,0.44
October,79.868,24.485,300,1.367,166.82,198.99,29,173.88,0.34
November,79.868,24.485,300,1.367,149.41,202.6,29,191.97,0.29
December,79.868,24.485,300,1.367,134.3,191.18,29,176.14,0.32
January,79.376,25.123,210,1.367,124.17,168.89,29,150.72,0.36
February,79.376,25.123,210,1.367,152.92,192.61,29,182.61,0.29
March,79.376,25.123,210,1.367,190.83,213.07,29,197.6,0.3
April,79.376,25.123,210,1.367,210.02,208.69,29,190.08,0.34
May,79.376,25.123,210,1.367,214.81,197.95,29,165.89,0.4
June,79.376,25.123,210,1.367,194.87,175.23,29,130.33,0.47
July,79.376,25.123,210,1.367,136.47,126.61,29,58.03,0.66
August,79.376,25.123,210,1.367,140.48,134.72,29,72.22,0.62
September,79.376,25.123,210,1.367,171.88,180.88,29,144.62,0.41
October,79.376,25.123,210,1.367,163.79,195.86,29,170.93,0.35
November,79.376,25.123,210,1.367,140.54,188.36,29,170.9,0.33
December,79.376,25.123,210,1.367,121.37,168.85,29,145.93,0.38
January,78.919,26.011,155,1.367,123.44,169.62,29,148.4,0.38
February,78.919,26.011,155,1.367,150.41,190.85,29,177.76,0.3
March,78.919,26.011,155,1.367,187.8,210.93,29,192.03,0.31
April,78.919,26.011,155,1.367,207.41,206.66,29,185.19,0.35
May,78.919,26.011,155,1.367,216.14,199.3,29,164.78,0.41
June,78.919,26.011,155,1.367,190.92,172.16,29,123.87,0.48
July,78.919,26.011,155,1.367,141.32,130.68,29,64.49,0.64
August,78.919,26.011,155,1.367,148.9,143.39,29,79.52,0.59
September,78.919,26.011,155,1.367,174.75,185.79,29,150.41,0.39
October,78.919,26.011,155,1.367,163.18,196.57,29,170.02,0.35
November,78.919,26.011,155,1.367,138.01,187.35,29,168.39,0.33
December,78.919,26.011,155,1.367,115.96,162.57,29,138.2,0.4
January,78.497,26.955,154,1.367,117.37,162.24,30,138.24,0.4
February,78.497,26.955,154,1.367,149.21,192.43,30,180.21,0.3
March,78.497,26.955,154,1.367,188.97,213.72,30,193.22,0.32
April,78.497,26.955,154,1.367,208.96,208.8,30,186.58,0.35
May,78.497,26.955,154,1.367,215.94,199.83,30,160.82,0.42
June,78.497,26.955,154,1.367,194.86,175.96,30,122.83,0.49
July,78.497,26.955,154,1.367,135.65,125.29,30,56.31,0.68
August,78.497,26.955,154,1.367,153.04,147.51,30,84.66,0.58
September,78.497,26.955,154,1.367,174.18,185.86,30,152.34,0.39
October,78.497,26.955,154,1.367,166.37,203.1,30,177.29,0.34
November,78.497,26.955,154,1.367,136.21,187.75,30,167.56,0.34
December,78.497,26.955,154,1.367,116.15,166.12,30,141.26,0.4
January,80.255,25.885,122,1.367,126.24,174.03,29,155.69,0.35
February,80.255,25.885,122,1.367,147.72,186.15,29,171.8,0.32
March,80.255,25.885,122,1.367,190.09,212.85,29,192.75,0.32
April,80.255,25.885,122,1.367,206.47,206.21,29,183.21,0.36
May,80.255,25.885,122,1.367,210.48,195.33,29,155.17,0.43
June,80.255,25.885,122,1.367,192.99,174.34,29,128.89,0.47
July,80.255,25.885,122,1.367,140.19,130.41,29,59.63,0.66
August,80.255,25.885,122,1.367,158.4,152.75,29,96.92,0.54
September,80.255,25.885,122,1.367,157.81,165.24,29,122.5,0.46
October,80.255,25.885,122,1.367,163.98,196.6,29,167.03,0.36
November,80.255,25.885,122,1.367,137.01,183.98,29,162.5,0.35
December,80.255,25.885,122,1.367,106.05,143.22,29,112.91,0.47
January,80.361,25.473,129,1.367,126.95,173.55,28,154.79,0.35
February,80.361,25.473,129,1.367,146.99,184.75,28,172.11,0.31
March,80.361,25.473,129,1.367,188.82,210.68,28,191.44,0.32
April,80.361,25.473,129,1.367,206.68,206.08,28,182.49,0.36
May,80.361,25.473,129,1.367,212.93,197.31,28,159.01,0.42
June,80.361,25.473,129,1.367,189.86,171.38,28,126.02,0.48
July,80.361,25.473,129,1.367,141.1,131.18,28,61.21,0.66
August,80.361,25.473,129,1.367,151.1,145.75,28,89.22,0.56
September,80.361,25.473,129,1.367,159.12,166.22,28,125.78,0.44
October,80.361,25.473,129,1.367,166.59,198.89,28,169.91,0.35
November,80.361,25.473,129,1.367,137.38,183.18,28,161.98,0.35
December,80.361,25.473,129,1.367,107.06,143.46,28,112.71,0.47
January,80.325,25.06,151,1.367,128.15,174.06,28,155.39,0.35
February,80.325,25.06,151,1.367,147.87,184.58,28,170.31,0.31
March,80.325,25.06,151,1.367,190.82,212.36,28,194.42,0.31
April,80.325,25.06,151,1.367,203.54,202.93,28,176.34,0.36
May,80.325,25.06,151,1.367,214.76,198.71,28,164.33,0.41
June,80.325,25.06,151,1.367,190.45,171.73,28,128.65,0.47
July,80.325,25.06,151,1.367,136.54,127.23,28,54.88,0.68
August,80.325,25.06,151,1.367,151.01,145.77,28,90.65,0.55
September,80.325,25.06,151,1.367,161.45,168.98,28,124.96,0.44
October,80.325,25.06,151,1.367,164.4,195.38,28,166.8,0.36
November,80.325,25.06,151,1.367,138.25,183.28,28,162.52,0.35
December,80.325,25.06,151,1.367,107.07,142.68,28,112.29,0.47
January,80.958,24.357,347,1.367,133.3,182.81,29,168.18,0.33
February,80.958,24.357,347,1.367,156.11,195.06,29,182.73,0.3
March,80.958,24.357,347,1.367,186.97,206.95,29,192.85,0.3
April,80.958,24.357,347,1.367,211.76,209.2,29,192.39,0.33
May,80.958,24.357,347,1.367,215.77,197.01,29,172.14,0.39
June,80.958,24.357,347,1.367,187.08,166.92,29,126.84,0.46
July,80.958,24.357,347,1.367,133.16,123.06,29,58.49,0.65
August,80.958,24.357,347,1.367,124.36,119.05,29,65.67,0.61
September,80.958,24.357,347,1.367,149.11,153.51,29,104.92,0.49
October,80.958,24.357,347,1.367,163.38,194.66,29,169.79,0.34
November,80.958,24.357,347,1.367,148.7,200.38,29,187.35,0.3
December,80.958,24.357,347,1.367,130.89,183.84,29,165.37,0.35
January,80.818,23.876,372,1.367,132.58,181.1,29,168.47,0.32
February,80.818,23.876,372,1.367,157.35,195.66,29,183.15,0.3
March,80.818,23.876,372,1.367,190.67,211.18,29,201.26,0.29
April,80.818,23.876,372,1.367,212.14,208.8,29,193.63,0.33
May,80.818,23.876,372,1.367,209.95,191.9,29,162.95,0.39
June,80.818,23.876,372,1.367,187.23,166.14,29,130.59,0.45
July,80.818,23.876,372,1.367,132.41,121.94,29,58.35,0.66
August,80.818,23.876,372,1.367,119.01,113.71,29,59.96,0.63
September,80.818,23.876,372,1.367,145.84,149.77,29,98.4,0.51
October,80.818,23.876,372,1.367,168.95,201.01,29,179.81,0.33
November,80.818,23.876,372,1.367,150.04,201.29,29,189.41,0.29
December,80.818,23.876,372,1.367,135.96,191.89,29,177.42,0.32
January,80.993,23.392,450,1.367,134.11,181.96,28,170.19,0.31
February,80.993,23.392,450,1.367,156.21,192.98,28,180.3,0.3
March,80.993,23.392,450,1.367,186.47,204.67,28,190.3,0.3
April,80.993,23.392,450,1.367,212.16,208.5,28,193.19,0.33
May,80.993,23.392,450,1.367,208.61,190.03,28,166.7,0.38
June,80.993,23.392,450,1.367,179.09,159.49,28,120.31,0.47
July,80.993,23.392,450,1.367,135.74,125.4,28,59.41,0.65
August,80.993,23.392,450,1.367,123.81,118.44,28,64.93,0.61
September,80.993,23.392,450,1.367,143.49,146.51,28,92.93,0.54
October,80.993,23.392,450,1.367,171.29,202.97,28,183.26,0.32
November,80.993,23.392,450,1.367,151.11,201.36,28,190.4,0.29
December,80.993,23.392,450,1.367,137.84,193.43,28,181.11,0.31
January,80.923,22.972,695,1.367,135.34,182.33,27,172.45,0.31
February,80.923,22.972,695,1.367,154.24,189.06,27,176.69,0.31
March,80.923,22.972,695,1.367,190.27,208.75,27,197.02,0.29
April,80.923,22.972,695,1.367,214.71,210.88,27,200.02,0.32
May,80.923,22.972,695,1.367,210.96,192.82,27,168.34,0.38
June,80.923,22.972,695,1.367,185.23,164.83,27,130.07,0.45
July,80.923,22.972,695,1.367,139.5,128.58,27,67.1,0.62
August,80.923,22.972,695,1.367,129.4,124.11,27,70.29,0.59
September,80.923,22.972,695,1.367,151.76,156.12,27,107.12,0.48
October,80.923,22.972,695,1.367,174.91,206.45,27,188.26,0.31
November,80.923,22.972,695,1.367,152.5,201.72,27,192.58,0.28
December,80.923,22.972,695,1.367,138.01,191.51,27,180.06,0.31
January,74.805,14.201,533,1.367,167.47,200.41,20,193.11,0.29
February,74.805,14.201,533,1.367,175.28,196.96,20,186.46,0.3
March,74.805,14.201,533,1.367,208.17,216.18,20,202.22,0.3
April,74.805,14.201,533,1.367,217.23,208.47,20,209.29,0.28
May,74.805,14.201,533,1.367,208.11,188.75,20,183.45,0.33
June,74.805,14.201,533,1.367,102.28,95.05,20,44.24,0.67
July,74.805,14.201,533,1.367,132.26,122.52,20,66,0.61
August,74.805,14.201,533,1.367,170.95,161.72,20,114.31,0.49
September,74.805,14.201,533,1.367,160.29,160.39,20,119.36,0.46
October,74.805,14.201,533,1.367,183.66,200.12,20,176.93,0.34
November,74.805,14.201,533,1.367,173.28,204.7,20,203,0.27
December,74.805,14.201,533,1.367,166.33,204.29,20,205.39,0.26
January,76.051,14.095,630,1.367,172.27,207.36,20,203.7,0.28
February,76.051,14.095,630,1.367,184.85,208.73,20,205.83,0.26
March,76.051,14.095,630,1.367,219.98,228.89,20,225.59,0.26
April,76.051,14.095,630,1.367,222.92,213.43,20,216.26,0.27
May,76.051,14.095,630,1.367,206.29,188.29,20,166.66,0.38
June,76.051,14.095,630,1.367,147.11,135.22,20,74.1,0.62
July,76.051,14.095,630,1.367,151.1,140.14,20,71.4,0.65
August,76.051,14.095,630,1.367,161.95,153.6,20,94.82,0.57
September,76.051,14.095,630,1.367,149.07,148.38,20,89.04,0.55
October,76.051,14.095,630,1.367,178.78,194.26,20,161.43,0.39
November,76.051,14.095,630,1.367,178.19,210.79,20,207.83,0.27
December,76.051,14.095,630,1.367,168.16,206.68,20,206.19,0.28
January,78.011,14.026,573,1.367,169.7,201.9,19,193.14,0.3
February,78.011,14.026,573,1.367,188.77,212.77,19,214.1,0.24
March,78.011,14.026,573,1.367,220.97,229.9,19,228.72,0.26
April,78.011,14.026,573,1.367,225.68,217.03,19,223.9,0.26
May,78.011,14.026,573,1.367,196.99,180.51,19,161.92,0.37
June,78.011,14.026,573,1.367,152.43,139.96,19,87.31,0.57
July,78.011,14.026,573,1.367,160.81,149.44,19,83.46,0.6
August,78.011,14.026,573,1.367,171.89,163.3,19,112.65,0.5
September,78.011,14.026,573,1.367,128.94,128.16,19,67.94,0.62
October,78.011,14.026,573,1.367,193.3,210.15,19,189.13,0.32
November,78.011,14.026,573,1.367,171.28,199.46,19,184.86,0.31
December,78.011,14.026,573,1.367,156.77,189.4,19,179.61,0.33
January,80.067,14.026,9,1.367,160.89,187.29,17,168.66,0.37
February,80.067,14.026,9,1.367,184.13,205.46,17,200.77,0.28
March,80.067,14.026,9,1.367,213.97,222.15,17,211.91,0.29
April,80.067,14.026,9,1.367,226.94,219.89,17,228.44,0.25
May,80.067,14.026,9,1.367,195.23,181.13,17,161.91,0.36
June,80.067,14.026,9,1.367,158.8,146.47,17,101.43,0.52
July,80.067,14.026,9,1.367,174.83,162.68,17,110.88,0.51
August,80.067,14.026,9,1.367,168.09,160.87,17,118.91,0.45
September,80.067,14.026,9,1.367,150.42,150.89,17,95.03,0.52
October,80.067,14.026,9,1.367,175.37,188.51,17,156.89,0.38
November,80.067,14.026,9,1.367,166.24,190.77,17,172.22,0.34
December,80.067,14.026,9,1.367,143.47,168.3,17,146.17,0.41
January,74.029,15.056,160,1.367,166.98,200.24,21,183.46,0.28
February,74.029,15.056,160,1.367,179.43,203.19,21,190.87,0.27
March,74.029,15.056,160,1.367,214.03,223.31,21,206.28,0.29
April,74.029,15.056,160,1.367,223.57,214.64,21,216.32,0.28
May,74.029,15.056,160,1.367,222.88,201.25,21,200.05,0.32
June,74.029,15.056,160,1.367,109.81,101.26,21,52.77,0.63
July,74.029,15.056,160,1.367,114.5,107.4,21,41.45,0.72
August,74.029,15.056,160,1.367,152.74,145.51,21,81.56,0.59
September,74.029,15.056,160,1.367,158.08,158.3,21,117.04,0.43
October,74.029,15.056,160,1.367,172.28,187.76,21,149.08,0.38
November,74.029,15.056,160,1.367,171.49,202.5,21,185.6,0.28
December,74.029,15.056,160,1.367,156.63,190.43,21,171.04,0.3
January,76.06,15.064,525,1.367,173.81,212.38,22,207.98,0.27
February,76.06,15.064,525,1.367,181.08,206.55,22,201.28,0.26
March,76.06,15.064,525,1.367,219.03,228.9,22,225.21,0.27
April,76.06,15.064,525,1.367,219.32,210.2,22,209.22,0.28
May,76.06,15.064,525,1.367,220.47,198.44,22,194.66,0.33
June,76.06,15.064,525,1.367,147.03,133.73,22,79.28,0.6
July,76.06,15.064,525,1.367,138.31,128.75,22,54.83,0.71
August,76.06,15.064,525,1.367,151.56,143.72,22,77.94,0.63
September,76.06,15.064,525,1.367,132.32,131.79,22,79.7,0.57
October,76.06,15.064,525,1.367,184.46,202.55,22,175.65,0.35
November,76.06,15.064,525,1.367,176.48,211.78,22,208.02,0.27
December,76.06,15.064,525,1.367,166.3,207.5,22,204.12,0.28
January,78.02,15.013,269,1.367,169.73,205.44,21,198.24,0.29
February,78.02,15.013,269,1.367,184.33,210,21,209.79,0.24
March,78.02,15.013,269,1.367,214.3,223.69,21,212.67,0.28
April,78.02,15.013,269,1.367,221.48,213.31,21,209.28,0.29
May,78.02,15.013,269,1.367,212.52,193.7,21,177.36,0.36
June,78.02,15.013,269,1.367,154.64,140.76,21,91.16,0.56
July,78.02,15.013,269,1.367,147.32,137.47,21,63.98,0.67
August,78.02,15.013,269,1.367,173.09,164.37,21,111.62,0.51
September,78.02,15.013,269,1.367,131.5,131.13,21,75.73,0.58
October,78.02,15.013,269,1.367,185.32,203.01,21,177.12,0.34
November,78.02,15.013,269,1.367,174.62,207.87,21,202.62,0.28
December,78.02,15.013,269,1.367,160.35,197.32,21,188.85,0.32
January,80.041,15.056,10,1.367,161.29,192.03,20,173.05,0.35
February,80.041,15.056,10,1.367,178.39,201.43,20,190.05,0.29
March,80.041,15.056,10,1.367,209.14,217.96,20,200.16,0.3
April,80.041,15.056,10,1.367,222.25,214.71,20,214.2,0.27
May,80.041,15.056,10,1.367,188.56,173.32,20,149.92,0.39
June,80.041,15.056,10,1.367,147.75,134.92,20,92.38,0.51
July,80.041,15.056,10,1.367,148.9,138.67,20,74.23,0.62
August,80.041,15.056,10,1.367,158.15,151.02,20,97.28,0.52
September,80.041,15.056,10,1.367,122.4,122.1,20,67.24,0.59
October,80.041,15.056,10,1.367,169.94,184.41,20,147.85,0.39
November,80.041,15.056,10,1.367,166.26,195.19,20,178.81,0.32
December,80.041,15.056,10,1.367,148.1,177.92,20,154.4,0.39
January,73.504,16.073,63,1.367,169.51,210.21,20,204.79,0.27
February,73.504,16.073,63,1.367,177.05,204.24,23,199.03,0.26
March,73.504,16.073,63,1.367,213.35,224.19,23,219.88,0.27
April,73.504,16.073,63,1.367,218.89,209.43,23,212.06,0.28
